Date,Open,High,Low,Close,Adj Close,Volume
2022-01-04,5.099999904632568,5.170000076293945,5.079999923706055,5.150000095367432,5.150000095367432,5815997
2022-01-05,5.159999847412109,5.170000076293945,5.059999942779541,5.099999904632568,5.099999904632568,4008117
2022-01-06,5.0,5.03000020980835,4.929999828338623,5.010000228881836,5.010000228881836,5282051
2022-01-07,5.03000020980835,5.059999942779541,5.0,5.03000020980835,5.03000020980835,3389352
2022-01-10,5.010000228881836,5.119999885559082,4.949999809265137,5.110000133514404,5.110000133514404,4032716
2022-01-11,5.0,5.159999847412109,5.0,5.150000095367432,5.150000095367432,5098980
2022-01-12,5.170000076293945,5.230000019073486,5.099999904632568,5.110000133514404,5.110000133514404,4332369
2022-01-13,5.059999942779541,5.079999923706055,4.980000019073486,4.989999771118164,4.989999771118164,5237685
2022-01-14,4.909999847412109,5.03000020980835,4.809999942779541,5.0,5.0,10363223
2022-01-17,5.079999923706055,5.170000076293945,5.03000020980835,5.119999885559082,5.119999885559082,6968675
2022-01-18,5.119999885559082,5.150000095367432,5.010000228881836,5.019999980926514,5.019999980926514,4267361
2022-01-19,4.980000019073486,5.099999904632568,4.960000038146973,5.090000152587891,5.090000152587891,4707615
2022-01-20,5.0,5.090000152587891,5.0,5.039999961853027,5.039999961853027,5426181
2022-01-21,4.989999771118164,5.010000228881836,4.849999904632568,4.889999866485596,4.889999866485596,8222333
2022-01-24,4.840000152587891,4.909999847412109,4.820000171661377,4.820000171661377,4.820000171661377,5554590
2022-01-25,4.760000228881836,4.760000228881836,4.610000133514404,4.659999847412109,4.659999847412109,13921725
2022-01-27,4.699999809265137,4.809999942779541,4.480000019073486,4.550000190734863,4.550000190734863,13922230
2022-01-28,4.670000076293945,4.78000020980835,4.559999942779541,4.730000019073486,4.730000019073486,17900482
2022-01-31,4.730000019073486,4.800000190734863,4.679999828338623,4.78000020980835,4.78000020980835,5060148
2022-02-01,4.820000171661377,4.945000171661377,4.804999828338623,4.900000095367432,4.900000095367432,4210759
2022-02-02,4.940000057220459,5.039999961853027,4.929999828338623,5.019999980926514,5.019999980926514,12138769
2022-02-03,5.0,5.014999866485596,4.925000190734863,4.949999809265137,4.949999809265137,4766767
2022-02-04,4.929999828338623,5.195000171661377,4.909999847412109,5.190000057220459,5.190000057220459,9426271
2022-02-07,5.170000076293945,5.5,5.150000095367432,5.429999828338623,5.429999828338623,22977685
2022-02-08,5.5,5.53000020980835,5.400000095367432,5.489999771118164,5.489999771118164,12937766
2022-02-09,5.510000228881836,5.559999942779541,5.440000057220459,5.519999980926514,5.519999980926514,8992485
2022-02-10,5.539999961853027,5.590000152587891,5.369999885559082,5.389999866485596,5.389999866485596,13827726
2022-02-11,5.369999885559082,5.440000057220459,5.304999828338623,5.400000095367432,5.400000095367432,5912354
2022-02-14,5.349999904632568,5.360000133514404,5.260000228881836,5.309999942779541,5.309999942779541,5583462
2022-02-15,5.269999980926514,5.28000020980835,5.204999923706055,5.21999979019165,5.21999979019165,5832677
2022-02-16,5.389999866485596,5.409999847412109,5.320000171661377,5.360000133514404,5.360000133514404,5627063
2022-02-17,5.449999809265137,5.550000190734863,5.389999866485596,5.389999866485596,5.389999866485596,11837951
2022-02-18,5.309999942779541,5.400000095367432,5.25,5.309999942779541,5.309999942779541,6642175
2022-02-21,5.349999904632568,5.400000095367432,5.199999809265137,5.309999942779541,5.309999942779541,5409262
2022-02-22,5.239999771118164,5.269999980926514,5.119999885559082,5.150000095367432,5.150000095367432,7877312
2022-02-23,5.139999866485596,5.360000133514404,5.119999885559082,5.349999904632568,5.349999904632568,7642676
2022-02-24,5.179999828338623,5.320000171661377,5.045000076293945,5.079999923706055,5.079999923706055,14868259
2022-02-25,5.119999885559082,5.25,5.050000190734863,5.059999942779541,5.059999942779541,8856031
2022-02-28,5.03000020980835,5.090000152587891,4.929999828338623,5.070000171661377,5.070000171661377,8150836
2022-03-01,5.090000152587891,5.199999809265137,5.079999923706055,5.159999847412109,5.159999847412109,8659347
2022-03-02,4.949999809265137,5.110000133514404,4.949999809265137,5.110000133514404,5.110000133514404,9768784
2022-03-03,5.170000076293945,5.199999809265137,5.105000019073486,5.110000133514404,5.110000133514404,5635650
2022-03-04,5.0,5.070000171661377,4.860000133514404,4.920000076293945,4.920000076293945,17507785
2022-03-07,4.829999923706055,4.840000152587891,4.46999979019165,4.53000020980835,4.53000020980835,30365932
2022-03-08,4.460000038146973,4.619999885559082,4.385000228881836,4.519999980926514,4.519999980926514,17060109
2022-03-09,4.590000152587891,4.690000057220459,4.559999942779541,4.659999847412109,4.659999847412109,11087588
2022-03-10,4.800000190734863,4.989999771118164,4.789999961853027,4.929999828338623,4.929999828338623,20346219
2022-03-11,4.900000095367432,4.929999828338623,4.820000171661377,4.849999904632568,4.849999904632568,7339069
2022-03-14,4.889999866485596,4.989999771118164,4.889999866485596,4.909999847412109,4.909999847412109,7784939
2022-03-15,4.920000076293945,5.0,4.889999866485596,4.940000057220459,4.940000057220459,8434914
2022-03-16,5.079999923706055,5.139999866485596,5.039999961853027,5.050000190734863,5.050000190734863,8405258
2022-03-17,5.150000095367432,5.179999828338623,5.099999904632568,5.139999866485596,5.139999866485596,6657291
2022-03-18,5.139999866485596,5.150000095367432,5.019999980926514,5.119999885559082,5.119999885559082,8255118
2022-03-21,5.139999866485596,5.170000076293945,5.050000190734863,5.070000171661377,5.070000171661377,5110878
2022-03-22,5.119999885559082,5.139999866485596,4.989999771118164,5.019999980926514,5.019999980926514,4465056
2022-03-23,5.079999923706055,5.114999771118164,5.050000190734863,5.059999942779541,5.059999942779541,3609334
2022-03-24,5.019999980926514,5.070000171661377,4.989999771118164,5.050000190734863,5.050000190734863,4214432
2022-03-25,5.059999942779541,5.139999866485596,5.050000190734863,5.110000133514404,5.110000133514404,9549999
2022-03-28,5.139999866485596,5.139999866485596,5.059999942779541,5.139999866485596,5.139999866485596,4009912
2022-03-29,5.159999847412109,5.224999904632568,5.150000095367432,5.150000095367432,5.150000095367432,13148422
2022-03-30,5.239999771118164,5.320000171661377,5.195000171661377,5.260000228881836,5.260000228881836,7658655
2022-03-31,5.25,5.289999961853027,5.179999828338623,5.210000038146973,5.210000038146973,6117823
